,SentNumber,Verb,WhichCategory,Matrix,Subject,Predicate,SentType,Negation,CompTruth,SubStat,Token,MatchingCategory,MismatchingCategory,Group
0,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,salmon,fishes,birds,A
1,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,bears,mammals,fruit,A
2,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,tunas,fishes,birds,B
3,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,monkeys,mammals,fruit,B
4,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,trouts,fishes,birds,C
5,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,cows,mammals,fruit,C
6,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,cobras,reptiles,mammals,D
7,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,ticks,insects,fishes,D
8,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,tortoises,reptiles,mammals,E
9,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,beetles,insects,fishes,E
10,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,pythons,reptiles,mammals,F
11,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,bees,insects,fishes,F
12,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,parrots,birds,reptiles,G
13,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,watermellon,fruits,insects,G
14,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,pigeons,birds,reptiles,H
15,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,kiwis,fruits,insects,H
16,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,vultures,birds,reptiles,I
17,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,oranges,fruits,insects,I
18,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,tunas,fishes,birds,A
19,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,monkeys,mammals,fruit,A
20,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,trouts,fishes,birds,B
21,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,cows,mammals,fruit,B
22,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,cobras,reptiles,mammals,C
23,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,ticks,insects,fishes,C
24,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,tortoises,reptiles,mammals,D
25,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,beetles,insects,fishes,D
26,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,pythons,reptiles,mammals,E
27,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,bees,insects,fishes,E
28,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,parrots,birds,reptiles,F
29,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,watermellon,fruits,insects,F
30,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,pigeons,birds,reptiles,G
31,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,kiwis,fruits,insects,G
32,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,vultures,birds,reptiles,H
33,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,oranges,fruits,insects,H
34,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,salmon,fishes,birds,I
35,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,bears,mammals,fruit,I
36,3,know,Matching,Zoologists don't know that,Token,Category,T3,1,1,expert,trouts,fishes,birds,A
37,3,know,Matching,Zoologists don't know that,Token,Category,T3,1,1,expert,cows,mammals,fruit,A
38,3,know,Matching,Zoologists don't know that,Token,Category,T3,1,1,expert,cobras,reptiles,mammals,B
39,3,know,Matching,Zoologists don't know that,Token,Category,T3,1,1,expert,ticks,insects,fishes,B
40,3,know,Matching,Zoologists don't know that,Token,Category,T3,1,1,expert,tortoises,reptiles,mammals,C
41,3,know,Matching,Zoologists don't know that,Token,Category,T3,1,1,expert,beetles,insects,fishes,C
